Ref,Componente,Valor,Footprint,Descripcion,Fabricante,MPN
C1,Cap,10uF,C0805,Capacitor 10uF,KEMET,C0805C10610uF
C2,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C3,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C4,Cap Pol1,47uF,RB5-10.5,Electrolitico 47 uF 16 V (polo del lazo 3.4 Hz),Panasonic,EEU-FR1C470
C5,Cap,3.3nF,0603,Capacitor 3.3nF,KEMET,C0603C3323.3nF
C11,Cap,10uF,C0805,Capacitor 10uF,KEMET,C0805C10610uF
C12,Cap,22uF,C1206,Capacitor 22uF,KEMET,C1206C22622uF
C13,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C14,Cap,1nF,0603,Capacitor 1nF,KEMET,C0603C1021nF
C15,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C16,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C17,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C20,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C21,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C22,Cap,1uF,0603,Capacitor 1uF,KEMET,C0603C1051uF
C23,Cap,10uF,C0805,Capacitor 10uF,KEMET,C0805C10610uF
C24,Cap,10uF,C0805,Capacitor 10uF,KEMET,C0805C10610uF
C30,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C31,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C32,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C33,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C34,Cap,4.7uF,C0805,Capacitor 4.7uF,KEMET,C0805C4754.7uF
C35,Cap,1uF,0603,Capacitor 1uF,KEMET,C0603C1051uF
C36,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C37,Cap,100nF,0603,Capacitor 100nF,KEMET,C0603C100nF
C38,Cap,22pF,0603,Capacitor 22pF,KEMET,C0603C22022pF
C39,Cap,22pF,0603,Capacitor 22pF,KEMET,C0603C22022pF
D1,Diode 1N4007,,DO-41,Proteccion de polaridad inversa,Diodes Inc.,1N4007
D2,LED1,,LED-1,LED de alimentacion (5 V),Kingbright,WP7113ID
D3,BAT54S,,SOT-23_N,Dual Schottky series pair SOT-23 (clamp),Nexperia,BAT54S
D5,Diode 1N4007,,DO-41,Rueda libre en paralelo con la carga,Diodes Inc.,1N4007
D6,LED1,,LED-1,LED de alimentacion (3.3 V),Kingbright,WP7113GD
D7,LED1,,LED-1,LED de usuario (PC13 sumidero),Kingbright,WP7113ID
FB1,Inductor,120R@100MHz,0603,Ferrite bead VDD -> VDDA,Murata,BLM18PG121SN1D
J1,Header 2,,HDR1X2,"Entrada 9-12 V DC: pin1 VIN, pin2 GND",Generic,Pin header 1x2 / borne
J2,Header 6,,HDR1X6,"UART FTDI: GND, -, 3V3, RX, TX, -",Generic,Pin header 1x6 FTDI
J3,Header 4,,HDR1X4,"I2C: GND, 3V3, SCL, SDA",Generic,Pin header 1x4
J4,Header 2,,HDR1X2,"Entrada analogica +-200 mV: pin1 senal, pin2 GND",Generic,Pin header 1x2
J5,Header 2,,HDR1X2,"Salida analogica 0-3.3 V: pin1 VOUT, pin2 GND",Generic,Pin header 1x2
